combo_index,buy_pullback_rsi,sell_overbought_rsi,min_atr,extreme_setup_rsi,extreme_setup_rel_vol,return_pct,max_drawdown_pct,max_drawdown_abs,win_rate_pct,profit_factor,sharpe_ratio,trade_count
1,42.0,75.0,0.001,20.0,0.8,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
2,42.0,75.0,0.001,20.0,1.0,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
3,42.0,75.0,0.001,20.0,1.2,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
4,42.0,75.0,0.001,25.0,0.8,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
5,42.0,75.0,0.001,25.0,1.0,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
6,42.0,75.0,0.001,25.0,1.2,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
7,42.0,75.0,0.001,30.0,0.8,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
8,42.0,75.0,0.001,30.0,1.0,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
9,42.0,75.0,0.001,30.0,1.2,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
10,42.0,75.0,0.003,20.0,0.8,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
11,42.0,75.0,0.003,20.0,1.0,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
12,42.0,75.0,0.003,20.0,1.2,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
13,42.0,75.0,0.003,25.0,0.8,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
14,42.0,75.0,0.003,25.0,1.0,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
15,42.0,75.0,0.003,25.0,1.2,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
16,42.0,75.0,0.003,30.0,0.8,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
17,42.0,75.0,0.003,30.0,1.0,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
18,42.0,75.0,0.003,30.0,1.2,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
19,42.0,75.0,0.005,20.0,0.8,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
20,42.0,75.0,0.005,20.0,1.0,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
21,42.0,75.0,0.005,20.0,1.2,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
22,42.0,75.0,0.005,25.0,0.8,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
23,42.0,75.0,0.005,25.0,1.0,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
24,42.0,75.0,0.005,25.0,1.2,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
25,42.0,75.0,0.005,30.0,0.8,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
26,42.0,75.0,0.005,30.0,1.0,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
27,42.0,75.0,0.005,30.0,1.2,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
28,42.0,75.0,0.01,20.0,0.8,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
29,42.0,75.0,0.01,20.0,1.0,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
30,42.0,75.0,0.01,20.0,1.2,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
31,42.0,75.0,0.01,25.0,0.8,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
32,42.0,75.0,0.01,25.0,1.0,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
33,42.0,75.0,0.01,25.0,1.2,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
34,42.0,75.0,0.01,30.0,0.8,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
35,42.0,75.0,0.01,30.0,1.0,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
36,42.0,75.0,0.01,30.0,1.2,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
37,42.0,80.0,0.001,20.0,0.8,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
38,42.0,80.0,0.001,20.0,1.0,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
39,42.0,80.0,0.001,20.0,1.2,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
40,42.0,80.0,0.001,25.0,0.8,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
41,42.0,80.0,0.001,25.0,1.0,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
42,42.0,80.0,0.001,25.0,1.2,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
43,42.0,80.0,0.001,30.0,0.8,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
44,42.0,80.0,0.001,30.0,1.0,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
45,42.0,80.0,0.001,30.0,1.2,10.256255813546609,-26.99061360934386,26.99061360934386,48.5207100591716,2.2973887408385463,0.0957197023862763,169
46,42.0,80.0,0.003,20.0,0.8,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
47,42.0,80.0,0.003,20.0,1.0,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
48,42.0,80.0,0.003,20.0,1.2,8.253045031582834,-26.991115925864374,26.991115925864374,47.90419161676647,2.2561232755556,0.07894602332321844,167
